Orig Query,New Query,Found,Match Rank,Rank,Probability
horne oresany,horn oresny,1,1,62,8.25082508250825
velke uherce,velke herc,1,26,71,1.41843971631206
kosicka bela,kosick ela,1,14,40,3.18471337579618
pavlovce nad uhom,avlovce nd uhom,1,1,226,4.46066504460665
korytne,korne,1,16,29,3.47826086956522
kriviany,krivan,1,3,22,9.19540229885057
risnovce,isnvce,0,-,130,0.43859649122807
velky bab,veky bb,1,2,34,5.92592592592593
michalany nad torysou,michalany na trysou,1,1,193,7.85024154589372
kraviany,rviany,1,1,81,3.64741641337386
trstena,tstea,1,10,14,4.76190476190476
svaty jur,vaty ju,1,8,18,3.67647058823529
brodske,brosk,1,16,17,1.69491525423729
svedlar,sedlr,1,5,6,6.66666666666667
maly lipnik,mal lipik,1,1,42,10.2739726027397
rarbok,rabk,0,-,9,0.0
maluzina,maluza,1,19,28,3.03030303030303
klastor pod znievom,klasto pod znivom,1,5,95,2.97297297297297
zlatno,zlto,0,-,3,0.0
visolaje,vsolje,1,5,6,18.1818181818182
lutina,luti,1,1,4,57.1428571428571
stupava,tpava,1,21,29,2.27272727272727
stanca,tanc,1,1,11,21.6216216216216
brestov,besov,0,-,43,0.0
ladice,laie,0,-,1,NaN
mestecko,meteko,0,-,9,0.0
stara halic,sara hlic,1,1,43,12.3456790123457
nedozery,edozey,1,2,3,42.8571428571429
most nad grutiou,ost nad gutiou,1,34,72,1.6260162601626
podskalie,posalie,1,1,31,7.40740740740741
liptovska osada,liptoska osad,1,15,78,2.05949656750572
tovarniky,tovarnk,1,1,154,5.06329113924051
bratislava,ratisava,1,6,42,4.16666666666667
velke rovne,lke rovne,1,12,73,2.28758169934641
vislava,vlava,1,2,44,4.9079754601227
zborov,zrov,1,30,32,1.0752688172043
svinia,svia,1,13,14,2.4390243902439
chabazany,chbazny,1,4,10,10.8108108108108
slovak archives - jewish census 1942 townships and communities reel 4  box 192 file 309,slovak archives - jewish census 1942 townships and communities reel 4  box 192 fie 30,1,1,220,1.67977886455454
nemcicany,nemciny,1,1,25,11.5384615384615
kamenica nad cirom,kamenic nadcirom,1,21,121,1.43472022955524
cajkov,jkov,0,-,67,0.816326530612245
abrahamovce,abrahmvce,1,1,132,3.34029227557411
hrusovany,husvany,1,2,92,2.42424242424242
bracovce,bracoe,1,1,26,13.6363636363636
oravsky podzamok,oravsky poamok,1,6,92,2.16919739696312
mestisko,mstisk,1,1,23,14.1176470588235
solcany,socny,0,-,3,0.0
pecenady,ecnady,1,2,59,3.96039603960396
busevce,buevc,1,1,2,100.0
turciansky svaty martin,turciansky saty mrtin,1,1,107,4.65116279069767
horne jaseno,orne jaseo,1,6,48,3.39805825242718
ladomer,ldoer,0,-,2,0.0
zubrohlava,zubrolaa,1,1,26,12.0
hajtovka,hajova,0,-,121,1.43884892086331
krajna porubka,krana porubk,1,1,76,10.443864229765
trencanska tepla,trencansa tepa,1,1,58,17.1102661596958
nova bana,ova bna,1,1,128,5.01392757660167
nemcice,nemie,1,5,13,10.2564102564103
